,Fi
148,-39958344835917785587172860829513006710784.00000
149,171024838585835117677561843796820755480576.00000
150,-2624229218878466122407168847331131228422144.00000
151,3052592212315659093920472002498132757708800.00000
152,-453863976873792303248030959060214983163904.00000
153,131366843767031449518938906270333099048960.00000
154,-90657492666215491062707670769505291730944.00000
155,1478273575128720983516860694102162381209600.00000
156,-168735562616845806992737849876634111311872.00000
157,-16094664532449643217440456304846594260336640.00000
158,5949734260620996015010577433654648622809088.00000
159,17327763472828867076855188351629445073731584.00000
160,-1486473259280301001133341970371199486656512.00000
161,-3228738239715282725366696826824933058281472.00000
162,2874162395683855797519731392019991095148544.00000
163,-900775702484760766702052436395426446311424.00000
164,173151781307013188292594857521749589753856.00000
165,147495003561402482587789957456537640239104.00000
166,-133951740253204761154135088841592143872.00000
167,-5924489334842865744327178813836361728.00000
168,24407014547011239133121420581129945088.00000
169,28590036669272417311328328524406718464.00000
170,-15179356869516089185620530690063493163384832.00000
171,9320812130893770352705749748328235456790528.00000
172,-11967595692184992784320537911049809421139968.00000
173,-1500213430865195924729630711625602301952.00000
174,-3824165001172651905768882337161668460544.00000
175,22126705212580422114295844220150160031744.00000
176,4937848959011964694515116758818013315072.00000
177,-1996645058293840764468853356930007040.00000
178,-32717661976766795666682797883392.00000
179,4061002240390127059970871909976899584.00000
180,13773617441820152781315334577711334031360.00000
181,-12290488114606517376817427264612178379931648.00000
182,-7948244442488580562452718882274571574050816.00000
183,20958702988101910882516616082560987477049344.00000
184,-15661362653318779404028390718506337778532352.00000
185,-34539016175497036954389954860726977025802240.00000
186,3727056575081757211408552639262357991718912.00000
187,40571922148715338145561067433312254313889792.00000
188,-28691649898500902504721129379579010113077248.00000
189,-61592386880865873782707191186740956387868672.00000
190,67284121057995059255004160262509098258399232.00000
191,-464115173065229291142035131394563680239616.00000
192,1211125730384290391647428107176454041632768.00000
193,128548238062383699577745450988839974731776.00000
194,27184051447617115129312962258253742342144.00000
195,156938227335394907730581578099411357007872.00000
196,17025978390818624213734264524134848397312.00000
197,-9292884816207727457283322279106170585088.00000
198,-11077953117356538507909128609353279995904.00000
199,175120642978393944745494970606807697850368.00000
200,-300377883635967538163244946708340456554496.00000
201,4369773843122402027266226834982015512608768.00000
202,2571126175811222583623735626762722239053824.00000
