,Fi
578,-0.01190
579,-0.00857
580,-0.00824
581,0.00308
582,0.00388
583,0.01403
584,0.01676
585,0.00900
586,0.01190
587,0.00234
588,0.00160
589,0.02639
590,0.03486
591,0.03273
592,0.04345
593,-0.00662
594,-0.00046
595,-0.00033
596,-0.00084
597,-0.00055
598,-0.00095
599,0.00008
600,0.00020
601,0.00010
602,0.00019
603,0.00004
604,0.00005
605,0.00003
606,0.00001
607,0.00006
608,0.00000
609,0.00002
610,0.00001
611,0.00004
612,0.00002
613,-0.00001
614,-0.00003
615,-0.00000
616,0.00002
617,0.00000
618,0.00002
619,0.00005
620,-0.00002
621,-0.00004
622,-0.00001
623,-0.00000
624,0.00001
625,0.00002
626,-0.00002
627,-0.00005
628,-0.00001
629,0.00004
630,0.00000
631,-0.00002
632,-0.00006
633,-0.00003
634,-0.00002
635,-0.00000
636,-0.00003
637,-0.00005
638,-0.00003
639,0.00003
640,0.00012
641,0.00005
642,-0.00008
643,0.00011
644,0.00003
645,-0.00009
646,-0.00004
647,-0.00005
648,-0.00002
649,-0.00011
650,-0.00000
651,-0.00000
652,-0.00000
653,-0.00000
654,-0.00000
655,-0.00000
656,-0.00010
657,0.00000
658,-0.00000
659,0.00002
660,-0.00009
661,0.00002
662,0.00007
663,0.00015
664,-0.00013
665,-0.00030
666,-0.00032
667,-0.00000
668,0.00387
669,0.00193
670,0.00006
671,0.00006
672,0.00010
673,0.00005
674,0.00012
675,0.00001
676,0.00031
677,0.00015
678,0.00037
679,0.00015
680,-0.00013
681,-0.00000
682,-0.00010
683,-0.00000
684,-0.00013
685,0.00005
686,0.00006
687,0.00009
688,0.00014
689,0.00007
690,0.00000
691,0.00000
692,0.00000
693,0.00015
694,-0.00152
695,-0.00359
696,-0.00251
697,-0.00129
698,-0.00004
699,-0.00164
700,-0.00005
701,-0.00384
702,-0.00159
703,0.00024
704,0.00023
705,0.00053
706,0.00050
707,0.00000
708,0.00001
709,0.00014
710,0.00021
711,0.00035
712,0.00010
713,0.00016
714,0.00000
715,0.00000
716,0.00005
717,0.00006
718,-0.00023
719,0.00009
720,0.00022
721,0.00025
722,-0.00022
723,-0.00001
724,-0.00001
725,-0.00014
726,-0.00001
727,-0.00253
728,-0.00131
729,-0.00003
730,-0.00061
731,-0.00049
732,-0.00002
733,-0.00032
734,-0.00027
735,-0.00063
736,0.00026
737,0.00031
738,0.00066
739,0.00001
740,0.00001
741,0.00030
742,0.00067
743,-0.00097
744,-0.00003
745,0.00014
746,0.00035
747,0.00013
748,0.00000
749,-0.00271
750,-0.00006
751,-0.00045
752,0.00000
753,0.00000
754,-0.00042
755,-0.00039
756,-0.00084
757,-0.00073
758,0.00022
759,0.00024
760,0.00043
761,0.00024
762,-0.00112
763,-0.00074
764,-0.00014
765,-0.00016
766,-0.00026
767,0.00024
768,0.00001
769,0.00025
770,0.00001
771,0.00039
772,0.00047
773,0.00212
774,0.00205
775,0.00408
776,0.00329
777,0.00146
778,0.00015
779,0.00044
780,-0.00058
781,-0.00110
782,-0.00067
783,-0.00022
784,-0.00042
785,-0.00010
786,-0.00004
787,-0.00021
788,-0.00001
789,-0.00000
790,-0.00050
791,0.00035
792,0.00001
793,0.00001
794,-0.00350
795,-0.00203
796,-0.00194
797,-0.00028
798,-0.00052
799,-0.00047
800,-0.00027
801,-0.00014
802,-0.00000
803,-0.00001
804,0.00096
805,0.00107
806,-0.00020
807,-0.00010
808,-0.00009
809,-0.00030
810,-0.00033
811,-0.00059
812,-0.00056
813,-0.00006
814,0.00023
815,0.00045
816,0.00415
817,0.00001
818,0.00019
819,0.00024
820,0.00044
821,-0.00022
822,-0.00031
823,0.00054
824,0.00149
825,0.00059
826,0.00125
827,0.00003
828,0.00090
829,0.00082
830,0.00003
831,-0.00187
832,0.00052
833,0.00082
834,0.00030
835,0.00000
836,0.00049
837,-0.00024
838,-0.00043
839,0.00581
840,0.00503
841,-0.00331
842,0.00344
843,0.00269
844,0.00398
845,0.00502
846,-0.00086
847,-0.00001
848,-0.03432
849,-0.03628
850,0.01080
851,0.00717
852,0.00970
853,0.00986
854,0.00764
855,0.00804
856,0.00584
857,-0.00288
858,-0.00250
859,-0.00385
860,-0.00333
861,-0.00213
862,-0.00134
863,-0.00041
864,-0.00106
865,-0.00044
866,-0.00135
867,-0.00183
868,-0.00135
869,0.00552
870,-0.00087
871,-0.00095
872,-0.00140
873,-0.00139
874,-0.00081
875,-0.01187
876,-0.00876
877,-0.00886
878,-0.01697
879,0.00158
880,0.00163
881,0.00233
882,0.00221
883,-0.03258
884,-0.02513
885,-0.03027
886,-0.02057
887,-0.02385
888,0.00040
889,0.00047
890,0.00081
891,0.00059
892,0.00450
893,0.01372
894,-0.01816
895,-0.02344
896,-0.01717
897,-0.02190
898,0.01415
899,0.01030
900,0.01365
901,0.01867
902,0.05849
903,0.05873
904,-0.00090
905,-0.00015
906,-0.00057
907,-0.00129
908,-0.00164
909,0.01033
910,0.01257
911,0.00874
912,0.00705
913,0.00628
914,0.00698
915,0.00233
916,0.00169
917,0.00221
918,-0.00748
919,-0.00644
920,0.00889
921,0.01203
922,0.01224
923,0.00826
924,0.00186
925,0.00205
926,0.00131
927,-0.00094
928,-0.00041
929,-0.00001
930,-0.01188
931,-0.01049
932,-0.00920
933,-0.01746
934,-0.02304
935,-0.03196
936,-0.02993
937,-0.02508
938,-0.02467
939,0.01827
940,0.01438
941,-0.00149
942,-0.00270
943,-0.00378
944,-0.00526
945,0.03951
946,0.04912
947,0.05084
948,0.03422
949,0.03018
950,-0.00234
951,-0.00371
952,0.00427
953,0.00927
954,0.01337
955,0.01096
956,0.00731
957,0.00031
958,0.04140
959,0.03083
960,0.04107
961,0.05510
962,0.04034
963,0.05203
964,0.05369
965,-0.03702
966,-0.02616
967,-0.03168
968,-0.00150
969,-0.00176
970,-0.00197
971,0.00488
972,0.00332
973,0.00441
974,0.00636
975,-0.00738
976,-0.00465
977,0.00237
978,0.00274
979,0.00284
980,0.02052
981,0.02520
982,0.01785
983,0.02080
984,0.00791
985,0.00713
986,-0.00325
987,-0.00249
988,-0.00354
989,-0.00260
990,0.00039
991,0.00022
992,0.00073
993,-0.01581
994,-0.01378
995,-0.01180
996,-0.00968
997,-0.00163
998,-0.00258
999,-0.00281
1000,-0.00114
1001,0.00158
1002,0.00093
1003,0.00121
1004,0.00194
1005,0.00252
1006,0.00039
1007,0.00109
1008,0.00081
1009,0.00001
1010,-0.00059
1011,-0.00106
1012,-0.00073
1013,-0.02086
1014,-0.01548
1015,-0.02870
1016,-0.00004
1017,0.00065
1018,-0.00061
1019,-0.01155
1020,-0.00816
